company,brand,homepage,calling_plan,mobile_carrier,category,data_speed,data_category,data_unit,call,call_unit,unlimited_free,message,message_unit,data1,data2,pay,promo_pay,saled_pay1,saled_pay2,saled_pay3,sales_pay1,condition1,sales_pay2,condition2,sales_pay3,condition3,etc1,etc2,etc3,activation,update_date,create_date
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,조건없는 USIM LTE 28,SKT,usim,LTE,2600,월,250,분,N,250,건,2600,,28600,28600,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,조건없는 USIM LTE 31,SKT,usim,LTE,5000,월,350,분,N,350,건,5000,,34100,34100,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,데이터 걱정없는 USIM 100GB,KT,usim,LTE,100000,월,999999,분,N,999999,건,100000,기본 데이터 소진 시 5Mbps 속도로 기본제공,49900,39780,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,데이터 걱정없는 USIM 3GB,KT,usim,LTE,3000,월,999999,분,N,999999,건,3000,기본 데이터 소진 시 1Mbps 속도로 기본제공,30900,25950,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,The 착한 데이터 USIM 10GB,KT,usim,LTE,10000,월,999999,분,N,999999,건,10000,일 2GB 추가 제공 (소진 시 3Mbps로 무제한),49390,33000,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,헬로 USIM 5GB 200분,KT,usim,LTE,5000,월,200,분,N,100,건,5000,,14300,13750,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,헬로 USIM 2GB 200분,KT,usim,LTE,2000,월,200,분,N,100,건,2000,,8800,7370,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,헬로 USIM 수다 1.5GB,KT,usim,LTE,1500,월,999999,분,N,999999,건,1500,,15290,12580,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,CU USIM 10GB 100분,KT,usim,LTE,10000,월,100,분,N,100,건,10000,,29700,20900,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,CU USIM 10GB 300분,KT,usim,LTE,10000,월,300,분,N,300,건,10000,,36300,25850,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,CU USIM 1.5GB 150분,KT,usim,LTE,1500,월,150,분,N,150,건,1500,,9900,6930,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,CU USIM 3GB 250분,KT,usim,LTE,3000,월,250,분,N,250,건,3000,,12900,12240,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,헬로적금10 USIM 10GB,KT,usim,LTE,10000,월,300,분,N,300,건,10000,,39930,39930,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,헬로적금10 USIM 6GB,KT,usim,LTE,6000,월,300,분,N,300,건,6000,,33660,33660,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,헬로적금10 USIM 2GB,KT,usim,LTE,2000,월,300,분,N,300,건,2000,,24970,24970,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,헬로적금10 USIM 10GB 플러스,KT,usim,LTE,10000,월,999999,분,N,999999,건,10000,일2GB 추가제공 (소진 시 3Mbps로 무제한),49390,49390,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,헬로적금10 USIM 6GB 플러스,KT,usim,LTE,6000,월,999999,분,N,999999,건,6000,밀당(1600MB),41140,41140,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,헬로적금10 USIM 2GB 플러스,KT,usim,LTE,2000,월,999999,분,N,999999,건,2000,밀당(1600MB),32890,32890,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,조건없는 USIM LTE 1GB,KT,usim,LTE,1000,월,50,분,N,0,건,1000,,10890,4950,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,데이터플러스 10GB,KT,tablet,LTE,10000,월,0,분,N,0,건,10000,,15950,10780,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,데이터플러스 20GB,KT,tablet,LTE,20000,월,0,분,N,0,건,20000,,22000,14080,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,The 착한 데이터 USIM 6GB,KT,usim,LTE,6000,월,999999,분,N,999999,건,6000,밀당(1600MB),40590,29700,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,The 착한 데이터 USIM 2GB(new),KT,usim,LTE,2000,월,999999,분,N,999999,건,2000,밀당(1600MB),32890,12870,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,The 착한 데이터 USIM 300MB,KT,usim,LTE,300,월,999999,분,N,999999,건,300,밀당(100MB),22990,11550,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,The 착한 데이터 USIM 100MB,KT,usim,LTE,100,월,999999,분,N,999999,건,100,밀당(100MB),19800,19800,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,The 착한 데이터 USIM 15GB,KT,usim,LTE,15000,월,999999,분,N,999999,건,15000,기본제공 (일 2GB 제공 + 초과시 3Mbps 속도제어),54890,54890,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,보편 USIM 6GB,KT,usim,LTE,6000,월,100,분,N,100,건,6000,,26400,26400,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,착한 페이백 데이터 USIM 1GB,KT,usim,LTE,1000,월,999999,분,N,999999,건,1000,남은 데이터 페이백 할인,26900,26900,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,착한 페이백 데이터 USIM 2GB,KT,usim,LTE,2000,월,999999,분,N,999999,건,2000,남은 데이터 페이백 할인,35900,35900,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,약정 USIM LTE 500MB,KT,usim,LTE,500,월,50,분,N,0,건,500,,6490,4290,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,조건없는 USIM LTE 500MB,KT,usim,LTE,500,월,50,분,N,0,건,500,,6490,3740,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,약정 USIM LTE 1GB,KT,usim,LTE,1000,월,50,분,N,0,건,1000,,10890,8690,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,조건없는 USIM LTE 21,KT,usim,LTE,1500,월,200,분,N,200,건,1500,,23100,11550,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,조건없는 USIM LTE 31,KT,usim,LTE,6000,월,350,분,N,350,건,6000,,34100,34100,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,약정 USIM LTE 21,KT,usim,LTE,1500,월,200,분,N,200,건,1500,,23100,19635,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,약정 USIM LTE 26,KT,usim,LTE,2500,월,250,분,N,250,건,2500,,28600,24310,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,약정 USIM LTE 31,KT,usim,LTE,6000,월,350,분,N,350,건,6000,,34100,28985,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,The 안심되는 USIM 500MB,KT,usim,LTE,500,월,999999,분,N,999999,건,500,밀당(100MB),26730,26730,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,The 안심되는 USIM 2.5GB,KT,usim,LTE,2500,월,999999,분,N,999999,건,2500,밀당(1600M),34980,34980,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,LTE USIM 표준,KT,usim,LTE,0,월,0,분,N,0,건,0,,9790,9790,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,조건없는 USIM LTE 수다 750MB,KT,usim,LTE,750,월,130,분,Y,999999,건,750,,19800,19800,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,조건없는 USIM LTE 수다 1.5GB,KT,usim,LTE,1500,월,185,분,Y,999999,건,1500,,25300,25300,,,,,,,,,,,,,Y,,
LG헬로비전,헬로모바일,http://direct.lghellovision.net/main.do,조건없는 USIM LTE 청소년윙 18,KT,usim,LTE,750,월,34000,윙,N,20000,윙,750,,18700,10230,,,,,,,,,,,,,Y,,
